X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
D11,D9,0.32643,-0.48209563,0.027999997,0.32643,4.9068904,0.89918053
D6,D5,0.31933,-0.43830404,0.015700012,0.31933,4.169925,0.87042177
D4,D3,0.31548,-0.40905672,0.046380013,0.31548,3.5849626,0.85119724
D10,D9,0.30634,-0.49893263,0.034669995,0.30634,4.169925,0.89736986
D17,D16,0.27369,-0.46307933,0.035079986,0.27369,4.169925,0.85835266
D11,D10,0.26925,-0.5434238,0.029839993,0.26925,4.9068904,0.9014842
D7,D5,0.26355,-0.2682828,0.022139996,0.26355,4.5849624,0.72926867
D9,D7,0.25963,-0.27226374,0.020950004,0.25963,4.5849624,0.72931045
D16,D10,0.25541,-0.32664117,0.05102998,0.25541,4.5849624,0.76292276
D15,D10,0.24739,-0.29909793,0.030299991,0.24739,4.4594316,0.7392482
D16,D15,0.24274,-0.3639029,0.019050002,0.24274,4.5849624,0.77887285
D17,D10,0.24069,-0.34754014,0.03226,0.24069,4.5849624,0.76696163
D14,D10,0.23625,-0.13769992,0.026610002,0.23163,5.2479277,0.61151445
D10,D8,0.2325,-0.42825484,0.022329986,0.2325,5.087463,0.8128683
D17,D15,0.229,-0.48103127,0.026790008,0.229,4.807355,0.84263355
D14,D9,0.22668,-0.047782436,0.04139,0.22206,5.2479277,0.5238916
D15,D8,0.22329,-0.25155553,0.020909995,0.22329,5.169925,0.6890904
D9,D6,0.22243,-0.12627383,0.022440001,0.22243,5.087463,0.5905115
D16,D8,0.22226,-0.4049074,0.016379997,0.22226,5.087463,0.791939
D11,D7,0.22197,-0.31931818,0.010609999,0.22197,4.321928,0.7357229
D15,D9,0.221,-0.20601203,0.035239995,0.21638,5.2479277,0.6534616
D14,D11,0.21805,-0.05784151,0.044970006,0.21343,5.2479277,0.5252538
D7,D6,0.21714,-0.3918851,0.010100007,0.21714,5.087463,0.78040063
D9,D5,0.21053,-0.07593386,0.034500003,0.21053,5,0.5352232
D17,D9,0.20852,-0.3326468,0.015609995,0.20852,5.087463,0.7356404
D17,D8,0.20632,-0.4034903,0.018639997,0.20632,5,0.7809035
D11,D6,0.20524,-0.14591216,0.021650001,0.20524,5.087463,0.5925809
D16,D9,0.20448,-0.40966386,0.025030002,0.20448,4.70044,0.7836733
D11,D5,0.2024,-0.060162157,0.015579999,0.2024,5.087463,0.5124082
D14,D13,0.20212,-0.3487389,0.011869997,0.20212,4.807355,0.7421987
D10,D7,0.2014,-0.3509794,0.016560003,0.2014,4.5849624,0.7432223
D15,D11,0.1999,-0.18325025,0.040769994,0.19529,5.2479277,0.6189913
D9,D8,0.19891,-0.51145214,0.018020004,0.19891,4.5849624,0.8428298
D14,D6,0.19605,-0.14116032,0.021780014,0.19143,5.2479277,0.58069813
D15,D12,0.19085,-0.20668907,0.018070005,0.19085,4.5849624,0.630507
D10,D5,0.18935,-0.12502988,0.02257,0.18935,4.5849624,0.5606959
D11,D8,0.18599,-0.56206405,0.013959996,0.18599,5,0.8649012
D16,D11,0.17842,-0.3923068,0.03331001,0.17842,4.70044,0.7554646
D12,D9,0.17752,-0.098385155,0.033710003,0.17752,4.70044,0.52526677
D17,D11,0.1765,-0.31670773,0.048150003,0.1765,5.087463,0.7022875
D15,D7,0.17631,-0.13110986,0.04726,0.17169,5.2479277,0.55445457
D10,D6,0.17479,-0.22965822,0.019789994,0.17479,4.5849624,0.6359624
D14,D5,0.17388,-0.069239035,0.02489999,0.16926,5.2479277,0.49307102
D13,D6,0.17293,-0.18652421,0.012769997,0.17293,5,0.599545
D13,D4,0.16817,-0.21726438,0.022730008,0.16817,4.9068904,0.62083364
D14,D7,0.16728,-0.14641713,0.034690008,0.16266,5.2479277,0.5600867
D17,D12,0.1672,-0.09020993,0.026560001,0.1672,4.807355,0.5073558
D8,D7,0.16227,-0.25220197,0.01162,0.16227,4.9068904,0.64379495
D14,D12,0.15928,-0.26923218,0.013400003,0.15466,5.2479277,0.6546084
D13,D3,0.15731,-0.59097284,0.013410002,0.15731,5.087463,0.86503345
D12,D8,0.15564,-4.70E-05,0.055879995,0.15564,4.9068904,0.39457193
D15,D6,0.15038,-0.10433902,0.009569995,0.14576,5.2479277,0.50469697
D12,D6,0.1497,-0.32908463,0.018700004,0.1497,5.087463,0.69194263
D12,D10,0.14884,-0.26816547,0.018210009,0.14884,4.807355,0.6457596
D16,D12,0.14406,-0.042746067,0.041330002,0.14406,5,0.43221068
D6,D3,0.14365,-0.27307513,0.027599998,0.14365,5.087463,0.6455425
D12,D11,0.14294,-0.117416784,0.01603999,0.14294,4.807355,0.5102517
D6,D4,0.14046,-0.23627622,0.017499998,0.14046,5.087463,0.6137884
D12,D5,0.13732,-0.24862672,0.016719997,0.13732,5,0.6212461
D13,D5,0.13731,-0.14306343,0.020749994,0.13731,5,0.529503
D17,D14,0.13647,-0.054613814,0.011130005,0.13519,5.2479277,0.43713135
D15,D14,0.13631,-0.097313344,0.014419995,0.13169,5.2479277,0.483346
D5,D3,0.13551,-0.30687907,0.022869997,0.13551,5.087463,0.66512334
D12,D7,0.13194,-0.3089817,0.018920004,0.13194,4.5849624,0.66401935
D8,D6,0.13178,-0.11349808,0.02611,0.13178,5.169925,0.49525556
D7,D2,0.12365,-0.18487181,0.02285,0.12365,4.321928,0.5554474
D14,D8,0.1222,-0.024248272,0.019019999,0.1222,5.169925,0.3826856
D16,D6,0.12217,-0.03664443,0.036910005,0.12217,4.70044,0.39851528
D5,D4,0.12136,-0.36592507,0.011140004,0.12136,5.087463,0.69805807
D15,D5,0.12074,-0.038597792,0.017669998,0.11612,5.2479277,0.39917138
D16,D7,0.12008,-0.18354413,0.01805,0.12008,4.70044,0.551021
D13,D10,0.11729,-0.039463557,0.029579997,0.11729,4.5849624,0.39592114
D16,D14,0.11686,-0.053223,0.01608,0.11686,4.807355,0.4124112
D4,D2,0.11677,-0.041875422,0.017219998,0.11677,5.169925,0.39830318
D17,D7,0.11469,-0.15920615,0.018430002,0.11469,5.087463,0.5233509
D17,D6,0.11442,-0.07457808,0.02149,0.11442,5.087463,0.43473908
D8,D5,0.11441,-0.064649075,0.020130001,0.11441,4.9068904,0.42315373
D6,D2,0.10923,-0.20238532,0.009640001,0.10923,5.087463,0.55822515
D14,D3,0.10837,-0.19134572,0.021929998,0.10375,5.2479277,0.547463
D14,D2,0.10435,-0.17587352,0.020900004,0.10435,4.321928,0.5293614
D13,D2,0.10396,-0.2779079,0.011119999,0.10396,5.087463,0.6179546
D13,D12,0.1038,-0.47878957,0.01721,0.1038,4.4594316,0.76327556
D9,D2,0.1022,0.047052603,0.014750004,0.1022,4.9068904,0.23483483
D13,D9,0.10133,0.05555457,0.018469997,0.10133,4.4594316,0.21395193
D17,D5,0.09853,-0.032784186,0.012450002,0.09853,5.087463,0.362373
D12,D3,0.09609,-0.31919593,0.018490002,0.09609,4.9068904,0.6444268
D14,D4,0.09605,-0.08578082,0.006820001,0.09605,5.087463,0.42641625
D12,D2,0.09581,-0.261189,0.016089998,0.09581,5,0.59749395
D12,D4,0.0941,-0.09066661,0.021860003,0.0941,5.169925,0.42984486
D16,D5,0.09334,-0.032706715,0.01579,0.09334,5,0.3550306
D13,D11,0.0907,0.053517453,0.008979999,0.0907,4.807355,0.19282776
D13,D7,0.08984,-0.106708,0.01241,0.08984,5,0.44333735
D9,D3,0.08561,0.06181758,0.01997,0.08561,4.9068904,0.15424792
D3,D2,0.08515,-0.23033398,0.010880001,0.08515,5.087463,0.5616796
D5,D2,0.08113,-0.19423586,0.008889996,0.08113,4.9068904,0.52475315
D15,D1,0.07951,0.079026766,0.017350003,0.07489,5.2479277,0.021982595
D15,D13,0.07877,-0.049256325,0.011459999,0.07877,4.4594316,0.35780767
D11,D2,0.07869,0.029176027,0.014090002,0.07869,4.807355,0.22251736
D14,D1,0.07707,0.07283057,0.026589997,0.07707,5.169925,0.06511085
D10,D2,0.07515,-0.019200228,0.014489997,0.07515,5,0.30716482
D15,D3,0.07498,0.005695976,0.025149997,0.07498,5.087463,0.26321858
D7,D3,0.07487,-0.09198975,0.011569999,0.07487,4.9068904,0.4084847
D17,D13,0.07455,0.03909694,0.012620002,0.07455,4.9068904,0.18828984
D11,D3,0.07302,0.05450151,0.017290004,0.07302,5.087463,0.13608265
D10,D3,0.0719,-0.018430091,0.02271,0.0719,5.087463,0.30054966
D15,D2,0.06829,-0.008851312,0.011920001,0.06829,5,0.27774325
D17,D3,0.0653,0.05392782,0.020310003,0.0653,4.9068904,0.106640436
D6,D1,0.06508,0.06493817,0.04276,0.06508,4.70044,-0.011909136
D16,D3,0.06475,0.06362493,0.022519998,0.06371,5.169925,0.033542026
D16,D13,0.06424,0.053591296,0.0143,0.06424,4.807355,0.10319256
D7,D4,0.06403,-0.024935715,0.006750003,0.06403,5.169925,0.2982712
D5,D1,0.06377,0.06359321,0.038300004,0.06377,4.807355,-0.013296328
D17,D2,0.06132,0.04033231,0.013080001,0.06132,5.169925,0.1448713
D9,D4,0.06129,0.050668217,0.01949,0.06129,4.5849624,0.103062026
D13,D1,0.06121,0.059080783,0.010400001,0.06121,5.169925,0.046143413
D8,D4,0.0612,0.06036546,0.016509999,0.0612,5.087463,-0.028888393
D2,D1,0.06019,0.058239132,0.020409998,0.06019,4.807355,0.04416864
D17,D1,0.05978,0.059777446,0.013850004,0.05978,5.087463,0.001598733
D8,D3,0.05948,0.057872094,0.010250002,0.05948,3.807355,-0.040098693
D13,D8,0.05782,0.057738543,0.011829998,0.05782,4.9068904,0.009025424
D16,D4,0.05633,0.05621433,0.007479999,0.05633,4.70044,0.010754952
D15,D4,0.05536,0.030791435,0.01334,0.05536,5.169925,0.15674363
D16,D2,0.05378,0.040831394,0.009410001,0.05378,5,0.113791935
D16,D1,0.05212,0.052014247,0.013810001,0.05212,4.70044,0.010283582
D11,D4,0.05193,0.043194264,0.01557,0.05193,5.169925,0.09346514
D12,D1,0.05104,0.0501862,0.01458,0.05104,4.4594316,0.029219931
D10,D1,0.05095,0.05087586,0.019679997,0.05095,5.087463,-0.008610223
D17,D4,0.04905,0.043996792,0.009769999,0.04905,4.4594316,0.07108592
D10,D4,0.04877,0.018800365,0.008169998,0.04877,5.169925,0.1731174
D8,D2,0.04647,0.034627065,0.008330001,0.04364,5.169925,0.10882527
D3,D1,0.04627,0.045831863,0.017280001,0.04627,5.087463,0.02093179
D9,D1,0.0429,0.042525403,0.02278,0.0429,4.169925,-0.019354453
D4,D1,0.04019,0.03979765,0.01617,0.04019,4.807355,0.019807842
D7,D1,0.03399,0.033866245,0.009920001,0.03106,5.169925,-0.011124566
D8,D1,0.03182,0.031619657,0.00611,0.02889,5.169925,-0.014154276
D11,D1,0.02819,0.027850926,0.011220001,0.02819,4.321928,-0.018413987
