MIC,P,conf
0.99884,0.000000256,0.000000181
0.94268,0.000011013,0.000001188
0.91884,0.000013061,0.000001293
0.90438,0.00001972,0.000001589
0.88865,0.000025355,0.000001802
0.86904,0.000032013,0.000002025
0.85445,0.000040209,0.000002269
0.84284,0.000050709,0.000002548
0.83884,0.0000566,0.000002692
0.83317,0.000067612,0.000002942
0.8249,0.0000776,0.000003152
0.81767,0.00009015,0.000003397
0.81124,0.000103979,0.000003649
0.80546,0.000119858,0.000003917
0.80465,0.000140346,0.000004239
0.80021,0.000154945,0.000004454
0.79701,0.000170311,0.00000467
0.79539,0.000211032,0.000005198
0.79095,0.00024535,0.000005604
0.77845,0.000272497,0.000005906
0.76874,0.000298108,0.000006178
0.76151,0.000330121,0.000006501
0.75884,0.000346768,0.000006663
0.75717,0.000383648,0.000007008
0.73923,0.000429235,0.000007412
0.72997,0.000459968,0.000007673
0.72373,0.000514006,0.000008111
0.7232,0.000526043,0.000008205
0.72298,0.000586228,0.000008662
0.72021,0.000596985,0.000008741
0.71539,0.000605948,0.000008806
0.71134,0.000650767,0.000009126
0.71007,0.000712233,0.000009547
0.69786,0.000788552,0.000010045
0.69583,0.000854628,0.000010457
0.69527,0.000869994,0.00001055
0.69342,0.00099062,0.000011257
0.69001,0.001021097,0.000011429
0.68683,0.00110382,0.000011882
0.6852,0.001117137,0.000011954
0.68416,0.001166566,0.000012215
0.68151,0.001273874,0.000012764
0.68144,0.001293851,0.000012863
0.67884,0.001366585,0.00001322
0.67676,0.001452125,0.000013626
0.67566,0.001473381,0.000013726
0.67328,0.001495663,0.000013829
0.6704,0.001512054,0.000013904
0.66889,0.00153792,0.000014023
0.66825,0.001683645,0.000014671
0.6675,0.001939752,0.000015745
0.66686,0.001966131,0.000015852
0.66559,0.001984314,0.000015925
0.66166,0.002011974,0.000016035
0.65923,0.00204245,0.000016156
0.659,0.002120819,0.000016462
0.65893,0.00232007,0.000017216
0.65582,0.002338254,0.000017284
0.65101,0.00235823,0.000017357
0.64632,0.002543395,0.000018024
0.64546,0.002571311,0.000018122
0.6442,0.00259308,0.000018199
0.64205,0.002819478,0.000018974
0.6417,0.00284304,0.000019053
0.64021,0.00286737,0.000019134
0.63939,0.002892212,0.000019217
0.63454,0.002918335,0.000019303
0.62973,0.002948556,0.000019403
0.62689,0.003184686,0.000020162
0.62627,0.003214907,0.000020257
0.62145,0.003249993,0.000020367
0.61904,0.003293275,0.000020502
0.61705,0.003345521,0.000020663
0.61583,0.003455391,0.000020999
0.61422,0.003500722,0.000021136
0.61261,0.003550662,0.000021285
0.61127,0.003658995,0.000021606
0.61046,0.00401524,0.00002263
0.60943,0.00429414,0.000023399
0.6078,0.004341264,0.000023527
0.60683,0.004386851,0.000023649
0.60602,0.004432181,0.000023771
0.60202,0.004470597,0.000023873
0.60158,0.004496464,0.000023942
0.59884,0.004717228,0.00002452
0.59728,0.004772291,0.000024662
0.59676,0.004794828,0.000024719
0.59358,0.005119828,0.000025539
0.59085,0.005185903,0.000025703
0.58756,0.005296797,0.000025975
0.5875,0.005336494,0.000026071
0.58507,0.005396935,0.000026218
0.58323,0.005466084,0.000026384
0.58275,0.006017738,0.000027676
0.58033,0.006212123,0.000028117
0.57982,0.006277174,0.000028262
0.57907,0.006657236,0.0000291
0.57663,0.006725104,0.000029247
0.57599,0.006804753,0.000029418
0.57356,0.006893878,0.000029609
0.57124,0.00699376,0.000029821
0.56806,0.0070898,0.000030024
0.56772,0.00719045,0.000030235
0.56657,0.007311076,0.000030485
0.56568,0.008334734,0.000032533
0.56546,0.008428213,0.000032713
0.56529,0.008549352,0.000032946
0.56379,0.008640782,0.00003312
0.56147,0.009422675,0.000034572
0.55853,0.009504629,0.000034721
0.55806,0.010344403,0.000036207
0.55731,0.010408174,0.000036317
0.55703,0.010517275,0.000036505
0.5565,0.010754174,0.000036909
0.55406,0.010890678,0.00003714
0.55348,0.011023342,0.000037363
0.55326,0.011795247,0.000038634
0.54926,0.012076708,0.000039087
0.5488,0.012232165,0.000039335
0.54696,0.012288765,0.000039424
0.54585,0.012393768,0.00003959
0.5418,0.012518236,0.000039786
0.5406,0.012618118,0.000039943
0.54053,0.012807124,0.000040237
0.5377,0.01289164,0.000040368
