X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
Unassigned;Other;Other	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	-0.801703	-0.801703	-0.801703	1	1	18	0	0	-0.409684	0.091333	-0.409684	0.091333	0	-0.836945	0.000001	-0.836945	0.000001	0	0	0.358547	0.358547	0.000105	0.000105	1	19
Unassigned;Other;Other	k__Bacteria;p__Bacteroidetes;c__Cytophagia	-0.739359	-0.739359	-0.739359	1	1	17	0	0	-0.519062	0.027289	-0.519062	0.027289	0	-0.72549	0.000951	-0.72549	0.000951	0	0	0.157019	0.157019	0.012988	0.012988	1	57
Unassigned;Other;Other	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	-0.72308	-0.72308	-0.72308	3	3	16	0	0	-0.648576	0.003596	-0.648576	0.003596	0	-0.779154	0.00021	-0.779154	0.00021	0	0	0.033997	0.033997	0.004495	0.004495	1	60
Unassigned;Other;Other	k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	-0.736534	-0.736534	-0.736534	1	1	18	0	0	-0.61892	0.00617	-0.61892	0.00617	0	-0.795666	0.000112	-0.795666	0.000112	0	0	0.052052	0.052052	0.002888	0.002888	1	95
Unassigned;Other;Other	k__Bacteria;p__Planctomycetes;c__Phycisphaerae	-0.840067	-0.840067	-0.840067	1	1	18	0	0	-0.690034	0.001528	-0.690034	0.001528	0	-0.859061	0.000005	-0.859061	0.000005	0	0	0.0178	0.0178	0.000286	0.000286	1	146
Unassigned;Other;Other	k__Bacteria;p__Planctomycetes;c__Planctomycetia	-0.810041	-0.810041	-0.810041	2	2	17	0	0	-0.684678	0.00172	-0.684678	0.00172	0	-0.816305	0.000038	-0.816305	0.000038	0	0	0.019422	0.019422	0.001293	0.001293	1	149
Unassigned;Other;Other	k__Bacteria;p__TM7;c__SC3	-0.802954	-0.802954	-0.802954	2	2	17	0	0	-0.627878	0.005271	-0.627878	0.005271	0	-0.811984	0.000043	-0.811984	0.000043	0	0	0.046084	0.046084	0.001411	0.001411	1	169
Unassigned;Other;Other	Temperature	0.804032	0.804032	0.804032	1	1	18	0	0	0.661771	0.002777	0.661771	0.002777	0	0.843573	0.000011	0.843573	0.000011	0	0	0.028178	0.028178	0.000513	0.000513	1	187
k__Archaea;p__Crenarchaeota;c__MBGA	k__Bacteria;p__Acidobacteria;c__	-0.746113	-0.746113	-0.746113	1	1	18	0	0	-0.239854	0.337734	-0.239854	0.337734	0	-0.739938	0.000666	-0.739938	0.000666	0	0	0.669848	0.669848	0.010318	0.010318	2	15
k__Archaea;p__Crenarchaeota;c__MBGA	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	-0.792414	-0.792414	-0.792414	1	1	18	0	0	-0.326599	0.185906	-0.326599	0.185906	0	-0.78741	0.000156	-0.78741	0.000156	0	0	0.530966	0.530966	0.00368	0.00368	2	19
k__Archaea;p__Crenarchaeota;c__MBGA	k__Bacteria;p__Acidobacteria;c__TM1	0.939425	0.939425	0.939425	2	2	17	0	0	0.93931	0	0.93931	0	0	0.923633	0	0.923633	0	0	0	0.000001	0.000001	0	0	2	32
