var1	var2	LS	lowCI	upCI	Xs	Ys	Len	Delay	pvalue	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	qvalue	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
Unassigned;Other;Other;Other;Other	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;Other;Other	0.778629	0.778629	0.778629	1	1	18	0	0	0.957992	0	0.957992	0	0	0.771208	0.000179	0.771208	0.000179	0	0	0	0	0.005886	0.005886	1	8
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__	-0.810288	-0.810288	-0.810288	1	1	18	0	0	-0.310119	0.210415	-0.310119	0.210415	0	-0.831182	0.000019	-0.831182	0.000019	0	0	0.663031	0.663031	0.001147	0.001147	1	36
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__	-0.822463	-0.822463	-0.822463	1	1	18	0	0	-0.407128	0.093572	-0.407128	0.093572	0	-0.859649	0	-0.859649	0	0	0	0.430687	0.430687	0	0	1	38
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nakamurellaceae	-0.813985	-0.813985	-0.813985	1	1	18	0	0	-0.302124	0.223031	-0.302124	0.223031	0	-0.81136	0.000044	-0.81136	0.000044	0	0	0.677854	0.677854	0.002128	0.002128	1	109
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	-0.743358	-0.743358	-0.743358	1	1	17	0	0	-0.505401	0.032391	-0.505401	0.032391	0	-0.731682	0.000819	-0.731682	0.000819	0	0	0.21021	0.21021	0.016587	0.016587	1	171
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__	-0.703308	-0.703308	-0.703308	1	1	18	0	0	-0.546923	0.01883	-0.546923	0.01883	0	-0.748194	0.000536	-0.748194	0.000536	0	0	0.141861	0.141861	0.012427	0.012427	1	181
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	-0.685322	-0.685322	-0.685322	1	1	18	0	0	-0.693445	0.001416	-0.693445	0.001416	0	-0.665635	0.003306	-0.665635	0.003306	0	0	0.020094	0.020094	0.042171	0.042171	1	186
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales;f__	0.712771	0.712771	0.712771	1	1	18	0	0	0.408112	0.092705	0.408112	0.092705	0	0.752411	0.000315	0.752411	0.000315	0	0	0.428038	0.428038	0.008675	0.008675	1	278
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	-0.698511	-0.698511	-0.698511	1	1	18	0	0	-0.601464	0.008279	-0.601464	0.008279	0	-0.762642	0.000356	-0.762642	0.000356	0	0	0.077024	0.077024	0.009409	0.009409	1	338
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__[Leptospirillaceae]	-0.766787	-0.766787	-0.766787	1	1	18	0	0	-0.505862	0.032207	-0.505862	0.032207	0	-0.811984	0.000043	-0.811984	0.000043	0	0	0.209407	0.209407	0.002094	0.002094	1	390
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101;f__	-0.857562	-0.857562	-0.857562	1	1	18	0	0	-0.689884	0.001534	-0.689884	0.001534	0	-0.874097	0	-0.874097	0	0	0	0.021365	0.021365	0	0	1	430
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae	-0.740717	-0.740717	-0.740717	2	2	17	0	0	-0.638645	0.004335	-0.638645	0.004335	0	-0.77709	0.000225	-0.77709	0.000225	0	0	0.046968	0.046968	0.006857	0.006857	1	435
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae	-0.720475	-0.720475	-0.720475	1	1	18	0	0	-0.440856	0.067067	-0.440856	0.067067	0	-0.716572	0.00082	-0.716572	0.00082	0	0	0.347467	0.347467	0.016587	0.016587	1	437
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae	-0.676219	-0.676219	-0.676219	1	1	18	0	0	-0.315752	0.201812	-0.315752	0.201812	0	-0.714213	0.000869	-0.714213	0.000869	0	0	0.651913	0.651913	0.01732	0.01732	1	465
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;Other	-0.718802	-0.718802	-0.718802	1	1	18	0	0	-0.552851	0.017332	-0.552851	0.017332	0	-0.707645	0.001019	-0.707645	0.001019	0	0	0.133328	0.133328	0.019332	0.019332	1	498
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae	-0.763027	-0.763027	-0.763027	1	1	18	0	0	-0.578587	0.011884	-0.578587	0.011884	0	-0.75645	0.000426	-0.75645	0.000426	0	0	0.100838	0.100838	0.010621	0.010621	1	539
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae	-0.690464	-0.690464	-0.690464	1	1	18	0	0	-0.777593	0.000146	-0.777593	0.000146	0	-0.742002	0.000631	-0.742002	0.000631	0	0	0.003335	0.003335	0.013888	0.013888	1	599
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae];o__S-BQ2-57;f__	-0.782893	-0.782893	-0.782893	1	1	18	0	0	-0.468616	0.049812	-0.468616	0.049812	0	-0.816727	0.000035	-0.816727	0.000035	0	0	0.28448	0.28448	0.001818	0.001818	1	632
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__	-0.817236	-0.817236	-0.817236	3	3	16	0	0	-0.594561	0.009258	-0.594561	0.009258	0	-0.801858	0.000085	-0.801858	0.000085	0	0	0.083607	0.083607	0.003465	0.003465	1	635
Unassigned;Other;Other;Other;Other	k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__Ellin515	-0.80147	-0.80147	-0.80147	1	1	18	0	0	-0.546033	0.019064	-0.546033	0.019064	0	-0.855521	0	-0.855521	0	0	0	0.143114	0.143114	0	0	1	636
Unassigned;Other;Other;Other;Other	Temperature	0.804032	0.804032	0.804032	1	1	18	0	0	0.661771	0.002777	0.661771	0.002777	0	0.843573	0.000011	0.843573	0.000011	0	0	0.033445	0.033445	0.000748	0.000748	1	661
k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__YNPFFA;f__SK322	0.80772	0.80772	0.80772	2	2	17	0	0	-0.046682	0.854063	-0.046682	0.854063	0	0.779679	0.000136	0.779679	0.000136	0	0	0.801286	0.801286	0.004861	0.004861	3	16
